APK,Image,WID,WID Name,Layout,Handler
DroidDream,btn_pre_pressed,2131034127,pre,view.xml,[<com.apk.com.lovePositions.ViewActivity$2: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$3: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$1: void onClick(android.view.View)>|]
DroidDream,random,2131034120,all,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,random,2131034121,random,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,random,2131034122,about,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,down_pressed,2131034125,des,view.xml,[<com.apk.com.lovePositions.ViewActivity$2: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$3: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$1: void onClick(android.view.View)>|]
DroidDream,down_pressed,2131034128,next,view.xml,[<com.apk.com.lovePositions.ViewActivity$2: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$3: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$1: void onClick(android.view.View)>|]
DroidDream,down_pressed,2131034127,pre,view.xml,[<com.apk.com.lovePositions.ViewActivity$2: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$3: void onClick(android.view.View)>|<com.apk.com.lovePositions.ViewActivity$1: void onClick(android.view.View)>|]
DroidDream,all,2131034120,all,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,all,2131034121,random,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,all,2131034122,about,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,up,2131034115,back,content.xml,[<com.apk.com.lovePositions.ContentActivity$1: void onClick(android.view.View)>|]
DroidDream,random_pressed,2131034120,all,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,random_pressed,2131034121,random,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,random_pressed,2131034122,about,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,about_pressed,2131034120,all,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,about_pressed,2131034121,random,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
DroidDream,about_pressed,2131034122,about,main.xml,[<com.apk.com.lovePositions.MainActivity$3: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$2: boolean onTouch(android.view.View,android.view.MotionEvent)>|<com.apk.com.lovePositions.MainActivity$1: boolean onTouch(android.view.View,android.view.MotionEvent)>|]
